trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1325,False,"{'a': 0.5, 'e': 0.13081774892755513}",25,18,13.815345571392237,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1326,False,"{'a': 0.5, 'e': 0.1306170903135482}",20,8,18.095246190893796,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1327,False,"{'a': 0.5, 'e': 0.13041673948560017}",30,0,22.290499428560736,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
1328,False,"{'a': 0.5, 'e': 0.13021669597160437}",30,0,-18.195784856366316,"{0: 25, 1: 3, 2: 0, 3: 2, 4: 0}",0
1329,False,"{'a': 0.5, 'e': 0.13001695930017843}",20,0,9.250156395589954,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
1330,False,"{'a': 0.5, 'e': 0.1298175290006629}",35,2,17.392723089262322,"{0: 30, 1: 1, 2: 2, 3: 0, 4: 0}",1
1331,False,"{'a': 0.5, 'e': 0.12961840460312032}",25,0,-18.635292756734902,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
1332,False,"{'a': 0.5, 'e': 0.12941958563833397}",20,13,16.338377122945488,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1333,False,"{'a': 0.5, 'e': 0.12922107163780702}",25,7,-117.03194202915978,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 3}",1
1334,False,"{'a': 0.5, 'e': 0.12902286213376113}",25,4,-31.565406131625384,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 1}",1
1335,False,"{'a': 0.5, 'e': 0.1288249566591354}",20,0,14.89385177857799,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1336,False,"{'a': 0.5, 'e': 0.12862735474758563}",20,0,-8.854670250126507,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
1337,False,"{'a': 0.5, 'e': 0.12843005593348267}",25,0,-62.299773288026756,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
1338,False,"{'a': 0.5, 'e': 0.12823305975191163}",25,14,-11.958529204456818,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
1339,False,"{'a': 0.5, 'e': 0.1280363657386708}",20,0,-13.279096175816006,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
1340,False,"{'a': 0.5, 'e': 0.12783997343027056}",25,3,24.66693612083454,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
1341,False,"{'a': 0.5, 'e': 0.12764388236393212}",20,5,1.0635995137912826,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
1342,False,"{'a': 0.5, 'e': 0.12744809207758648}",20,6,26.81051384205784,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1343,False,"{'a': 0.5, 'e': 0.12725260210987363}",20,8,10.339284062255802,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
1344,False,"{'a': 0.5, 'e': 0.12705741200014103}",30,5,-42.91025994333815,"{0: 20, 1: 3, 2: 0, 3: 1, 4: 1}",1
1345,False,"{'a': 0.5, 'e': 0.12686252128844278}",30,18,-0.8999052588754599,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
1346,False,"{'a': 0.5, 'e': 0.1266679295155384}",20,0,0.42764192572599646,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
1347,False,"{'a': 0.5, 'e': 0.1264736362228921}",20,0,27.42512615063014,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1348,False,"{'a': 0.5, 'e': 0.1262796409526711}",30,1,38.34154804600615,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 0}",1
1349,False,"{'a': 0.5, 'e': 0.12608594324774505}",35,16,-10.684406560073366,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
1350,False,"{'a': 0.5, 'e': 0.1258925426516848}",30,0,-74.88265475543162,"{0: 24, 1: 1, 2: 2, 3: 2, 4: 1}",0
1351,False,"{'a': 0.5, 'e': 0.12569943870876124}",20,0,-85.90326376189923,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
1352,False,"{'a': 0.5, 'e': 0.12550663096394432}",25,15,-6.762246162719185,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
1353,False,"{'a': 0.5, 'e': 0.12531411896290187}",20,10,-33.70588083402832,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
1354,False,"{'a': 0.5, 'e': 0.12512190225199885}",25,13,12.177764272467744,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1355,False,"{'a': 0.5, 'e': 0.12492998037829575}",25,5,-13.768411802807147,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
1356,False,"{'a': 0.5, 'e': 0.12473835288954796}",25,8,12.13703206754532,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1357,False,"{'a': 0.5, 'e': 0.1245470193342046}",25,8,-54.85018302579918,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
1358,False,"{'a': 0.5, 'e': 0.12435597926140733}",20,15,11.071318591865555,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1359,False,"{'a': 0.5, 'e': 0.12416523222098934}",25,2,-65.41175997110462,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 2}",1
1360,False,"{'a': 0.5, 'e': 0.12397477776347449}",25,6,-22.94547161083601,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
1361,False,"{'a': 0.5, 'e': 0.12378461544007592}",30,20,11.953406351385363,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
1362,False,"{'a': 0.5, 'e': 0.1235947448026952}",20,7,-10.878957856319925,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
1363,False,"{'a': 0.5, 'e': 0.12340516540392119}",30,0,-21.904230509117014,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 1}",0
1364,False,"{'a': 0.5, 'e': 0.12321587679702917}",25,15,-25.6178022842991,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
1365,False,"{'a': 0.5, 'e': 0.1230268785359795}",20,10,8.010912787373659,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
1366,False,"{'a': 0.5, 'e': 0.1228381701754167}",25,0,4.622895466362554,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
1367,False,"{'a': 0.5, 'e': 0.12264975127066857}",20,0,-95.23775942742687,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
1368,False,"{'a': 0.5, 'e': 0.12246162137774483}",25,0,-85.21425177167043,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 3}",0
1369,False,"{'a': 0.5, 'e': 0.12227378005333626}",30,0,-36.13996074457417,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
1370,False,"{'a': 0.5, 'e': 0.12208622685481361}",20,13,16.103653408612765,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1371,False,"{'a': 0.5, 'e': 0.12189896134022668}",20,13,11.442308220219072,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1372,False,"{'a': 0.5, 'e': 0.12171198306830305}",25,18,-8.461441153222061,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
1373,False,"{'a': 0.5, 'e': 0.12152529159844715}",20,0,-110.99531839618115,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
1374,False,"{'a': 0.5, 'e': 0.12133888649073934}",30,0,-70.51658441065437,"{0: 26, 1: 1, 2: 0, 3: 1, 4: 2}",0
1375,False,"{'a': 0.5, 'e': 0.1211527673059347}",20,0,-20.39920664108256,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
1376,False,"{'a': 0.5, 'e': 0.12096693360546204}",25,11,-27.02753219498919,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
1377,False,"{'a': 0.5, 'e': 0.12078138495142283}",20,0,24.856407133064454,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1378,False,"{'a': 0.5, 'e': 0.12059612090659043}",25,0,-14.837951255159508,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
1379,False,"{'a': 0.5, 'e': 0.12041114103440864}",30,0,-24.292481604553384,"{0: 24, 1: 3, 2: 2, 3: 1, 4: 0}",0
1380,False,"{'a': 0.5, 'e': 0.12022644489899093}",30,18,15.862107760465713,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
1381,False,"{'a': 0.5, 'e': 0.1200420320651195}",20,5,5.168759257782777,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
1382,False,"{'a': 0.5, 'e': 0.11985790209824397}",20,4,12.74511369877287,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
1383,False,"{'a': 0.5, 'e': 0.11967405456448058}",20,1,-29.416515248493067,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 0}",1
1384,False,"{'a': 0.5, 'e': 0.11949048903061098}",20,12,7.270608960631467,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
1385,False,"{'a': 0.5, 'e': 0.11930720506408156}",20,0,3.9820201148901586,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
1386,False,"{'a': 0.5, 'e': 0.11912420223300199}",35,6,-42.17234150418512,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 1}",1
1387,False,"{'a': 0.5, 'e': 0.11894148010614443}",20,13,13.519359980725056,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1388,False,"{'a': 0.5, 'e': 0.11875903825294264}",20,12,6.987048710471248,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
1389,False,"{'a': 0.5, 'e': 0.11857687624349063}",25,9,30.087962884464368,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1390,False,"{'a': 0.5, 'e': 0.11839499364854195}",25,1,13.84660626039641,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
1391,False,"{'a': 0.5, 'e': 0.11821339003950845}",25,0,-33.87588484564014,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
1392,False,"{'a': 0.5, 'e': 0.11803206498845958}",20,7,-2.6040562746043547,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
1393,False,"{'a': 0.5, 'e': 0.117851018068121}",20,15,-3.7953907976428556,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
1394,False,"{'a': 0.5, 'e': 0.11767024885187377}",30,11,-10.807168870529864,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
1395,False,"{'a': 0.5, 'e': 0.11748975691375349}",20,3,-5.96660737459581,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
1396,False,"{'a': 0.5, 'e': 0.11730954182844897}",35,13,33.55072727832217,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1397,False,"{'a': 0.5, 'e': 0.11712960317130146}",25,0,-51.77327588697842,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
1398,False,"{'a': 0.5, 'e': 0.11694994051830354}",35,2,-27.598609257237722,"{0: 29, 1: 0, 2: 1, 3: 3, 4: 0}",1
1399,False,"{'a': 0.5, 'e': 0.1167705534460983}",20,15,-12.357879255976314,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
1400,False,"{'a': 0.5, 'e': 0.11659144153197805}",20,13,6.164889572540647,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
1401,False,"{'a': 0.5, 'e': 0.11641260435388352}",20,7,-33.317873384872804,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
1402,False,"{'a': 0.5, 'e': 0.11623404149040295}",25,2,-0.8161596411293299,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
1403,False,"{'a': 0.5, 'e': 0.11605575252077083}",30,0,-72.87890807058189,"{0: 26, 1: 1, 2: 0, 3: 1, 4: 2}",0
1404,False,"{'a': 0.5, 'e': 0.1158777370248671}",30,7,-41.68672059832996,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 1}",1
1405,False,"{'a': 0.5, 'e': 0.11569999458321606}",20,0,8.610608530305186,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
